Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
GGT5	52.330363687269696	5.690246659693409	0.7794795694177005	7.391126882139e-14	6.649276739524308e-12	TRUE
RP11-1100L3.8	4.679368130863888	5.689511795311796	0.6653556236714828	1.330274781225238e-22	7.652930787464455e-20	TRUE
PDE10A	5.920677783349173	5.67895813571084	0.9855717595274648	3.517114592322486e-10	1.3279385509976144e-8	TRUE
AFAP1L1	17.511139253362625	5.669039697699037	0.74219452685914	3.1104746157985945e-15	4.0235553595250336e-13	TRUE
GEM	62.727812054954086	5.651925587698796	0.9671865514843175	7.196049626999249e-10	2.5373038854166222e-8	TRUE
SCN4B	3.0035456601621116	5.642547339028788	1.1355443218645658	3.002052612277406e-8	6.984258348961265e-7	TRUE
BAMBI	5.9205639131374435	5.64245186690216	0.725979296650869	3.502768011207421e-17	7.025138669083068e-15	TRUE
CACNA2D1	4.888750477227039	5.6404555500135425	0.9085955257050337	9.946991114078236e-12	5.561411067643588e-10	TRUE
ADAMTSL1	3.8173326728445884	5.628172286579997	1.3848579493134479	4.743142695793887e-6	5.86812917219865e-5	TRUE
LRP4	4.421194939479327	5.615363775038927	1.1082608063343218	7.483805364023922e-8	1.5640867023224373e-6	TRUE
PCDH12	3.0880575864633197	5.596896893707029	0.7293562817905911	2.232287280053417e-6	3.069184416933821e-5	TRUE
GALNT18	4.693295913626862	5.596843280401319	0.7729786843732336	1.4844055583854629e-7	2.851545686455589e-6	TRUE
ECM2	19.223423535235863	5.590948685506662	0.8351043983160813	4.4114413535643164e-12	2.745318133357275e-10	TRUE
HSPA12B	3.5192070569722986	5.582727794863077	1.506330286904812	4.647062078933861e-5	4.1669164933377003e-4	TRUE
CXCL1	53.23706446639997	5.579459816585146	0.6412493555950273	3.5003947885310855e-19	1.0068701377905007e-16	TRUE
CCL19	8.24274704008199	5.572418473870662	1.0549597201096705	3.6881834642387636e-8	8.381224398308068e-7	TRUE
LINC01117	5.077592949407187	5.56319485790011	0.9974275143490691	7.010020492355148e-10	2.483728654511765e-8	TRUE
